"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
101,А,10207,1558500.0000,2,04/01/12
101,А,10602,60200.0000,2,04/01/12
101,А,10603,15582.0000,2,04/01/12
101,А,10605,4171.0000,1,04/01/12
101,А,10701,22937.0000,2,04/01/12
101,А,10801,253510.0000,2,04/01/12
101,А,20202,995631.0000,1,04/01/12
101,А,20208,19029.0000,1,04/01/12
101,А,20209,0.0000,1,04/01/12
101,А,30102,323742.0000,1,04/01/12
101,А,30110,10843.0000,1,04/01/12
101,А,30114,26941.0000,1,04/01/12
101,А,30202,69262.0000,1,04/01/12
101,А,30204,26110.0000,1,04/01/12
101,А,30210,0.0000,1,04/01/12
101,А,30221,0.0000,1,04/01/12
101,А,30226,654.0000,2,04/01/12
101,А,30232,0.0000,2,04/01/12
101,А,30233,804.0000,1,04/01/12
101,А,30301,5664603.0000,2,04/01/12
101,А,30302,5664603.0000,1,04/01/12
101,А,30402,316606.0000,1,04/01/12
101,А,30404,0.0000,1,04/01/12
101,А,30408,0.0000,2,04/01/12
101,А,30409,0.0000,1,04/01/12
101,А,30602,9958.0000,1,04/01/12
101,А,30607,0.0000,2,04/01/12
101,А,31302,0.0000,2,04/01/12
101,А,31303,130000.0000,2,04/01/12
101,А,31501,0.0000,2,04/01/12
101,А,31502,0.0000,2,04/01/12
101,А,31503,0.0000,2,04/01/12
101,А,31902,0.0000,1,04/01/12
101,А,32002,0.0000,1,04/01/12
101,А,32003,0.0000,1,04/01/12
101,А,32015,0.0000,2,04/01/12
101,А,32201,0.0000,1,04/01/12
101,А,32202,0.0000,1,04/01/12
101,А,32203,0.0000,1,04/01/12
101,А,32211,0.0000,2,04/01/12
101,А,32901,1523860.0000,2,04/01/12
101,А,32902,253511.0000,1,04/01/12
101,А,40602,1.0000,2,04/01/12
101,А,40701,4910485.0000,2,04/01/12
101,А,40702,1136309.0000,2,04/01/12
101,А,40703,3632.0000,2,04/01/12
101,А,40802,5859.0000,2,04/01/12
101,А,40807,1943708.0000,2,04/01/12
101,А,40817,326535.0000,2,04/01/12
101,А,40820,1074.0000,2,04/01/12
101,А,40903,0.0000,2,04/01/12
101,А,40911,18.0000,2,04/01/12
101,А,42005,8000.0000,2,04/01/12
101,А,42006,281000.0000,2,04/01/12
101,А,42105,60000.0000,2,04/01/12
101,А,42107,90.0000,2,04/01/12
101,А,42301,9359.0000,2,04/01/12
101,А,42303,2213.0000,2,04/01/12
101,А,42304,198428.0000,2,04/01/12
101,А,42305,111964.0000,2,04/01/12
101,А,42306,21011.0000,2,04/01/12
101,А,42604,140.0000,2,04/01/12
101,А,42605,250.0000,2,04/01/12
101,А,43702,508326.0000,2,04/01/12
101,А,44001,689946.0000,2,04/01/12
