"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
1354,11000,,,13908215,04/01/25
1949,11000,,,325960,04/01/25
598,11000,,,85969,04/01/25
1399,11000,,,142507,04/01/25
2796,11000,,,35468,04/01/25
2494,11000,,,844553,04/01/25
2868,11000,,,150861,04/01/25
2932,11000,,,230535,04/01/25
3467,11000,,,151375,04/01/25
3468,11000,,,258878,04/01/25
3298,11000,,,46252,04/01/25
1948,11000,,,268834,04/01/25
2733,11000,,,7368710,04/01/25
3318,11000,,,4383,04/01/25
3311,11000,,,7243490,04/01/25
415,11000,,,8721185,04/01/25
1158,11000,,,449679,04/01/25
438,11000,,,495560,04/01/25
436,11000,,,49007479,04/01/25
1376,11000,,,433743,04/01/25
3415,11000,,,61858,04/01/25
3365,11000,,,2186396,04/01/25
3001,11000,,,2231270,04/01/25
2103,11000,,,183324,04/01/25
2748,11000,,,62243175,04/01/25
2982,11000,,,260813,04/01/25
3550,11000,,,23030,04/01/25
2846,11000,,,82220,04/01/25
2564,11000,,,194995,04/01/25
1312,11000,,,73168,04/01/25
2755,11000,,,1465022,04/01/25
2070,11000,,,112040,04/01/25
1765,11000,,,41989,04/01/25
2402,11000,,,1636743,04/01/25
537,11000,,,99188,04/01/25
2738,11000,,,2253776,04/01/25
3527,11000,,,367561,04/01/25
2789,11000,,,2006552,04/01/25
600,11000,,,2789650,04/01/25
2772,11000,,,671387,04/01/25
2876,11000,,,270416,04/01/25
2390,11000,,,578033,04/01/25
2602,11000,,,1827030,04/01/25
2830,11000,,,84501,04/01/25
875,11000,,,131089,04/01/25
1781,11000,,,53620,04/01/25
2587,11000,,,951369,04/01/25
783,11000,,,124608,04/01/25
3542,11000,,,11843977,04/01/25
3185,11000,,,1178045,04/01/25
3421,11000,,,1772575,04/01/25
3450,11000,,,533020,04/01/25
2838,11000,,,296185,04/01/25
2867,11000,,,1886120,04/01/25
3330,11000,,,2040846,04/01/25
3231,11000,,,49746,04/01/25
85,11000,,,86023,04/01/25
1829,11000,,,844562,04/01/25
3138,11000,,,1073786,04/01/25
356,11000,,,325580,04/01/25
524,11000,,,268121,04/01/25
3416,11000,,,484337,04/01/25
2853,11000,,,109880,04/01/25
3533,11000,,,71955,04/01/25
2900,11000,,,358785,04/01/25
1291,11000,,,87620,04/01/25
588,11000,,,3838196,04/01/25
3508,11000,,,39406,04/01/25
