"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0"
1,10000,85563856,11214983,96778839
1,10001,17161134,5748806,22909940
1,10002,68352753,5445256,73798009
1,10003,49969,20921,70890
1,11000,9506082,5540846,15046928
1,11100,7547787,5093204,12640991
1,11101,0,0,0
1,11102,5730,0,5730
1,11103,0,0,0
1,11104,0,0,0
1,11105,0,0,0
1,11106,4886,1400,6286
1,11107,0,0,0
1,11108,0,0,0
1,11109,5858,0,5858
1,11110,0,0,0
1,11111,18379,4287,22666
1,11112,5796901,3152211,8949112
1,11113,8584,0,8584
1,11114,32157,2863,35020
1,11115,1480656,1491246,2971902
1,11116,15060,277394,292454
1,11117,862,13369,14231
1,11118,131273,57177,188450
1,11119,47441,93257,140698
1,11200,914511,3461,917972
1,11201,0,0,0
1,11202,0,0,0
1,11203,0,0,0
1,11204,0,0,0
1,11205,0,0,0
1,11206,0,0,0
1,11207,0,0,0
1,11208,0,0,0
1,11209,0,0,0
1,11210,0,0,0
1,11211,17522,0,17522
1,11212,538758,0,538758
1,11213,0,0,0
1,11214,35,2755,2790
1,11215,358158,3,358161
1,11216,38,703,741
1,11217,0,0,0
1,11300,3006,44375,47381
1,11301,0,0,0
1,11302,3006,0,3006
1,11303,0,44375,44375
1,11400,33520,313039,346559
1,11401,2152,0,2152
1,11402,982,0,982
1,11403,30386,313039,343425
1,11500,1007258,86767,1094025
1,11501,2111,2933,5044
1,11502,44392,0,44392
1,11503,0,0,0
1,11504,139305,0,139305
1,11505,686351,0,686351
1,11506,0,0,0
1,11507,133768,9599,143367
1,11508,1331,74235,75566
1,11600,0,0,0
1,11601,0,0,0
1,11602,0,0,0
1,11603,0,0,0
1,11604,0,0,0
1,11605,0,0,0
1,11606,0,0,0
1,11607,0,0,0
1,11608,0,0,0
1,12000,7655052,207960,7863012
1,12100,739103,174122,913225
1,12101,48489,13252,61741
1,12102,690614,160870,851484
1,12200,6767558,,6767558
1,12201,6767558,,6767558
1,12300,131035,33825,164860
1,12301,131035,33825,164860
1,12400,17356,13,17369
1,12401,1715,,1715
1,12402,0,13,13
1,12403,0,,0
1,12404,15641,0,15641
1,12405,0,0,0
1,12406,0,0,0
1,13000,124807,0,124807
1,13100,124807,,124807
1,13101,6126,,6126
1,13102,1059,,1059
1,13103,1232,,1232
1,13104,2904,,2904
1,13105,19743,,19743
1,13106,0,,0
1,13107,21,,21
1,13108,93722,,93722
1,13200,0,0,0
1,13201,0,0,0
1,14000,32227,0,32227
1,14100,32227,0,32227
1,14101,0,0,0
1,14102,32227,0,32227
1,14103,0,0,0
1,14104,0,0,0
1,14200,0,0,0
1,14201,0,0,0
1,14202,0,0,0
1,14203,0,0,0
1,14204,0,0,0
1,14300,0,0,0
1,14301,0,0,0
1,14302,0,0,0
1,14303,0,0,0
1,14304,0,0,0
1,14400,0,0,0
1,14401,0,0,0
1,14402,0,0,0
