"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0","DT,D"
103,01000,253045,01/01/16
103,02000,0,01/01/16
103,10000,23511221,01/01/16
103,10001,1778229,01/01/16
103,10002,21732280,01/01/16
103,10003,712,01/01/16
103,11000,1377727,01/01/16
103,11100,1280223,01/01/16
103,11101,0,01/01/16
103,11102,0,01/01/16
103,11103,0,01/01/16
103,11104,0,01/01/16
103,11105,0,01/01/16
103,11106,0,01/01/16
103,11107,0,01/01/16
103,11108,0,01/01/16
103,11109,4298,01/01/16
103,11110,0,01/01/16
103,11111,6832,01/01/16
103,11112,984763,01/01/16
103,11113,0,01/01/16
103,11114,0,01/01/16
103,11115,178907,01/01/16
103,11116,0,01/01/16
103,11117,22,01/01/16
103,11118,105401,01/01/16
103,11119,0,01/01/16
103,11200,0,01/01/16
103,11201,0,01/01/16
103,11202,0,01/01/16
103,11203,0,01/01/16
103,11204,0,01/01/16
103,11205,0,01/01/16
103,11206,0,01/01/16
103,11207,0,01/01/16
103,11208,0,01/01/16
103,11209,0,01/01/16
103,11210,0,01/01/16
103,11211,0,01/01/16
103,11212,0,01/01/16
103,11213,0,01/01/16
103,11214,0,01/01/16
103,11215,0,01/01/16
103,11216,0,01/01/16
103,11217,0,01/01/16
103,11300,8116,01/01/16
103,11301,0,01/01/16
103,11302,7958,01/01/16
103,11303,158,01/01/16
103,11400,0,01/01/16
103,11401,0,01/01/16
103,11402,0,01/01/16
103,11403,0,01/01/16
103,11500,46977,01/01/16
103,11501,0,01/01/16
103,11502,0,01/01/16
103,11503,0,01/01/16
103,11504,25330,01/01/16
103,11505,21647,01/01/16
103,11506,0,01/01/16
103,11507,0,01/01/16
103,11508,0,01/01/16
103,11600,42411,01/01/16
103,11601,0,01/01/16
103,11602,0,01/01/16
103,11603,42411,01/01/16
103,11604,0,01/01/16
103,11605,0,01/01/16
103,11606,0,01/01/16
103,11607,0,01/01/16
103,11608,0,01/01/16
103,12000,400502,01/01/16
103,12100,60567,01/01/16
103,12101,384,01/01/16
103,12102,60183,01/01/16
103,12200,301783,01/01/16
103,12201,301783,01/01/16
103,12300,36607,01/01/16
103,12301,36607,01/01/16
103,12400,1545,01/01/16
103,12401,0,01/01/16
103,12402,0,01/01/16
103,12403,0,01/01/16
103,12404,1545,01/01/16
103,12405,0,01/01/16
103,12406,0,01/01/16
103,12407,0,01/01/16
103,13000,5976,01/01/16
103,13100,5976,01/01/16
103,13101,0,01/01/16
103,13102,0,01/01/16
103,13103,0,01/01/16
103,13104,272,01/01/16
103,13105,5704,01/01/16
103,13106,0,01/01/16
103,13107,0,01/01/16
103,13108,0,01/01/16
103,13200,0,01/01/16
103,13201,0,01/01/16
103,14000,0,01/01/16
103,14100,0,01/01/16
103,14101,0,01/01/16
103,14102,0,01/01/16
103,14103,0,01/01/16
103,14104,0,01/01/16
103,14200,0,01/01/16
103,14201,0,01/01/16
103,14202,0,01/01/16
103,14203,0,01/01/16
103,14204,0,01/01/16
103,14300,0,01/01/16
103,14301,0,01/01/16
103,14302,0,01/01/16
103,14303,0,01/01/16
103,14304,0,01/01/16
103,14400,0,01/01/16
103,14401,0,01/01/16
103,14402,0,01/01/16
103,14403,0,01/01/16
103,14404,0,01/01/16
103,15000,21220697,01/01/16
103,15100,21220530,01/01/16
103,15101,0,01/01/16
103,15102,21220530,01/01/16
103,15103,0,01/01/16
103,15200,167,01/01/16
103,15201,0,01/01/16
103,15202,167,01/01/16
103,15203,0,01/01/16
103,15204,0,01/01/16
103,16000,505607,01/01/16
103,16100,0,01/01/16
103,16101,0,01/01/16
103,16200,12269,01/01/16
103,16201,0,01/01/16
103,16202,0,01/01/16
103,16203,12269,01/01/16
103,16300,493338,01/01/16
103,16301,0,01/01/16
103,16302,0,01/01/16
103,16303,0,01/01/16
103,16304,8213,01/01/16
103,16305,485125,01/01/16
103,16306,0,01/01/16
103,17000,712,01/01/16
103,17100,0,01/01/16
103,17101,0,01/01/16
103,17102,0,01/01/16
103,17103,0,01/01/16
103,17200,0,01/01/16
103,17201,0,01/01/16
103,17202,0,01/01/16
103,17203,0,01/01/16
103,17300,712,01/01/16
103,17301,0,01/01/16
103,17302,11,01/01/16
103,17303,0,01/01/16
103,17304,0,01/01/16
103,17305,162,01/01/16
103,17306,539,01/01/16
103,17307,0,01/01/16
103,20000,23499217,01/01/16
103,20001,676556,01/01/16
103,20002,22578206,01/01/16
103,20003,3414,01/01/16
103,20100,23258176,01/01/16
103,21000,283463,01/01/16
103,21100,14273,01/01/16
103,21101,0,01/01/16
103,21102,14273,01/01/16
103,21103,0,01/01/16
103,21104,0,01/01/16
103,21200,0,01/01/16
103,21201,0,01/01/16
103,21202,0,01/01/16
103,21203,0,01/01/16
103,21204,0,01/01/16
103,21205,0,01/01/16
103,21206,0,01/01/16
103,21207,0,01/01/16
103,21208,0,01/01/16
103,21209,0,01/01/16
103,21210,0,01/01/16
103,21211,0,01/01/16
103,21212,0,01/01/16
103,21213,0,01/01/16
103,21214,0,01/01/16
103,21300,0,01/01/16
103,21301,0,01/01/16
103,21302,0,01/01/16
103,21303,0,01/01/16
103,21304,0,01/01/16
103,21305,0,01/01/16
103,21306,0,01/01/16
103,21307,0,01/01/16
103,21308,0,01/01/16
103,21309,0,01/01/16
103,21310,0,01/01/16
103,21311,0,01/01/16
103,21312,0,01/01/16
103,21313,0,01/01/16
103,21314,0,01/01/16
103,21315,0,01/01/16
103,21316,0,01/01/16
103,21317,0,01/01/16
103,21400,0,01/01/16
103,21401,0,01/01/16
103,21402,0,01/01/16
103,21403,0,01/01/16
103,21404,0,01/01/16
103,21405,0,01/01/16
103,21406,0,01/01/16
103,21407,0,01/01/16
103,21408,0,01/01/16
103,21409,0,01/01/16
103,21410,0,01/01/16
103,21411,0,01/01/16
103,21412,0,01/01/16
103,21413,0,01/01/16
103,21414,0,01/01/16
103,21415,0,01/01/16
103,21416,0,01/01/16
103,21417,0,01/01/16
103,21500,0,01/01/16
103,21501,0,01/01/16
103,21502,0,01/01/16
103,21600,148564,01/01/16
103,21601,148522,01/01/16
103,21602,42,01/01/16
103,21700,0,01/01/16
103,21701,0,01/01/16
103,21702,0,01/01/16
103,21800,120626,01/01/16
103,21801,0,01/01/16
103,21802,0,01/01/16
103,21803,0,01/01/16
103,21804,120626,01/01/16
103,22000,393093,01/01/16
103,22100,387602,01/01/16
103,22101,387602,01/01/16
103,22200,5491,01/01/16
103,22201,0,01/01/16
103,22202,0,01/01/16
103,22203,0,01/01/16
103,22204,5491,01/01/16
103,23000,627,01/01/16
103,23100,627,01/01/16
103,23101,0,01/01/16
103,23102,0,01/01/16
103,23103,0,01/01/16
103,23104,0,01/01/16
103,23105,627,01/01/16
103,23106,0,01/01/16
103,23107,0,01/01/16
103,23108,0,01/01/16
103,23109,0,01/01/16
103,23200,0,01/01/16
103,23201,0,01/01/16
103,24000,21147825,01/01/16
103,24100,21147726,01/01/16
103,24101,0,01/01/16
103,24102,21147726,01/01/16
103,24103,0,01/01/16
103,24200,99,01/01/16
103,24201,0,01/01/16
103,24202,99,01/01/16
103,24203,0,01/01/16
103,24204,0,01/01/16
103,25000,1161931,01/01/16
103,25100,0,01/01/16
103,25101,0,01/01/16
103,25200,8884,01/01/16
103,25201,0,01/01/16
103,25202,1485,01/01/16
103,25203,7399,01/01/16
103,25204,0,01/01/16
103,25205,0,01/01/16
103,25206,0,01/01/16
103,25300,1153047,01/01/16
103,25301,8174,01/01/16
103,25302,1141269,01/01/16
103,25303,3604,01/01/16
103,26000,267823,01/01/16
103,26100,150575,01/01/16
103,26101,120135,01/01/16
103,26102,30440,01/01/16
103,26103,0,01/01/16
103,26104,0,01/01/16
103,26200,11017,01/01/16
103,26201,7922,01/01/16
103,26202,0,01/01/16
103,26203,0,01/01/16
103,26204,3095,01/01/16
103,26300,45734,01/01/16
103,26301,483,01/01/16
103,26302,5013,01/01/16
103,26303,33380,01/01/16
103,26304,2879,01/01/16
103,26305,3919,01/01/16
103,26306,0,01/01/16
103,26307,60,01/01/16
103,26400,60497,01/01/16
103,26401,73,01/01/16
103,26402,390,01/01/16
103,26403,9807,01/01/16
103,26404,2163,01/01/16
103,26405,4590,01/01/16
103,26406,9040,01/01/16
103,26407,0,01/01/16
103,26408,1032,01/01/16
103,26409,0,01/01/16
103,26410,12393,01/01/16
103,26411,18286,01/01/16
103,26412,2723,01/01/16
103,27000,3414,01/01/16
103,27100,136,01/01/16
103,27101,0,01/01/16
103,27102,32,01/01/16
103,27103,104,01/01/16
103,27200,0,01/01/16
103,27201,0,01/01/16
103,27202,0,01/01/16
103,27203,0,01/01/16
103,27300,3278,01/01/16
103,27301,0,01/01/16
103,27302,0,01/01/16
103,27303,0,01/01/16
103,27304,0,01/01/16
103,27305,419,01/01/16
103,27306,0,01/01/16
103,27307,0,01/01/16
103,27308,2859,01/01/16
103,27309,0,01/01/16
103,28000,241041,01/01/16
103,28101,241041,01/01/16
103,28102,0,01/01/16
103,28103,0,01/01/16
103,28201,241041,01/01/16
103,28202,0,01/01/16
103,31001,12004,01/01/16
103,31002,0,01/01/16
103,32001,0,01/01/16
103,32002,0,01/01/16
103,32101,0,01/01/16
103,33001,12004,01/01/16
103,33002,0,01/01/16
212,01000,67502,01/01/16
212,02000,0,01/01/16
212,10000,5918959,01/01/16
212,10001,1670543,01/01/16
212,10002,4246225,01/01/16
212,10003,2191,01/01/16
212,11000,1254824,01/01/16
212,11100,1075239,01/01/16
212,11101,0,01/01/16
212,11102,1892,01/01/16
212,11103,0,01/01/16
212,11104,0,01/01/16
212,11105,0,01/01/16
212,11106,0,01/01/16
212,11107,0,01/01/16
212,11108,0,01/01/16
212,11109,55,01/01/16
212,11110,0,01/01/16
212,11111,0,01/01/16
212,11112,804438,01/01/16
212,11113,1718,01/01/16
212,11114,130697,01/01/16
212,11115,88727,01/01/16
212,11116,0,01/01/16
212,11117,0,01/01/16
212,11118,47712,01/01/16
212,11119,0,01/01/16
212,11200,0,01/01/16
212,11201,0,01/01/16
212,11202,0,01/01/16
212,11203,0,01/01/16
212,11204,0,01/01/16
212,11205,0,01/01/16
212,11206,0,01/01/16
212,11207,0,01/01/16
212,11208,0,01/01/16
212,11209,0,01/01/16
212,11210,0,01/01/16
212,11211,0,01/01/16
212,11212,0,01/01/16
212,11213,0,01/01/16
212,11214,0,01/01/16
212,11215,0,01/01/16
212,11216,0,01/01/16
212,11217,0,01/01/16
212,11300,163,01/01/16
212,11301,0,01/01/16
212,11302,119,01/01/16
212,11303,44,01/01/16
212,11400,131882,01/01/16
212,11401,131882,01/01/16
212,11402,0,01/01/16
212,11403,0,01/01/16
212,11500,47540,01/01/16
212,11501,43356,01/01/16
212,11502,0,01/01/16
212,11503,0,01/01/16
212,11504,0,01/01/16
212,11505,0,01/01/16
212,11506,0,01/01/16
212,11507,0,01/01/16
212,11508,4184,01/01/16
212,11600,0,01/01/16
212,11601,0,01/01/16
212,11602,0,01/01/16
212,11603,0,01/01/16
212,11604,0,01/01/16
212,11605,0,01/01/16
212,11606,0,01/01/16
212,11607,0,01/01/16
212,11608,0,01/01/16
212,12000,415719,01/01/16
212,12100,270175,01/01/16
212,12101,42043,01/01/16
212,12102,228132,01/01/16
212,12200,130645,01/01/16
212,12201,130645,01/01/16
212,12300,13066,01/01/16
212,12301,13066,01/01/16
212,12400,1833,01/01/16
212,12401,0,01/01/16
212,12402,0,01/01/16
212,12403,2,01/01/16
212,12404,1831,01/01/16
212,12405,0,01/01/16
212,12406,0,01/01/16
212,12407,0,01/01/16
212,13000,421,01/01/16
212,13100,143,01/01/16
212,13101,0,01/01/16
212,13102,0,01/01/16
212,13103,0,01/01/16
212,13104,0,01/01/16
212,13105,143,01/01/16
212,13106,0,01/01/16
212,13107,0,01/01/16
212,13108,0,01/01/16
212,13200,278,01/01/16
212,13201,278,01/01/16
212,14000,0,01/01/16
212,14100,0,01/01/16
212,14101,0,01/01/16
212,14102,0,01/01/16
212,14103,0,01/01/16
212,14104,0,01/01/16
212,14200,0,01/01/16
212,14201,0,01/01/16
212,14202,0,01/01/16
212,14203,0,01/01/16
212,14204,0,01/01/16
212,14300,0,01/01/16
212,14301,0,01/01/16
212,14302,0,01/01/16
212,14303,0,01/01/16
212,14304,0,01/01/16
212,14400,0,01/01/16
212,14401,0,01/01/16
212,14402,0,01/01/16
212,14403,0,01/01/16
212,14404,0,01/01/16
212,15000,2518182,01/01/16
212,15100,2518161,01/01/16
212,15101,12546,01/01/16
212,15102,2505081,01/01/16
212,15103,534,01/01/16
212,15200,21,01/01/16
212,15201,0,01/01/16
212,15202,21,01/01/16
212,15203,0,01/01/16
212,15204,0,01/01/16
212,16000,1727622,01/01/16
212,16100,0,01/01/16
212,16101,0,01/01/16
212,16200,19678,01/01/16
212,16201,0,01/01/16
212,16202,0,01/01/16
212,16203,19678,01/01/16
212,16300,1707944,01/01/16
212,16301,5953,01/01/16
212,16302,300,01/01/16
212,16303,0,01/01/16
212,16304,0,01/01/16
212,16305,1679460,01/01/16
212,16306,22231,01/01/16
212,17000,2191,01/01/16
212,17100,95,01/01/16
212,17101,28,01/01/16
212,17102,67,01/01/16
212,17103,0,01/01/16
212,17200,1378,01/01/16
212,17201,1378,01/01/16
212,17202,0,01/01/16
212,17203,0,01/01/16
212,17300,718,01/01/16
212,17301,15,01/01/16
212,17302,315,01/01/16
212,17303,0,01/01/16
212,17304,18,01/01/16
212,17305,356,01/01/16
212,17306,14,01/01/16
212,17307,0,01/01/16
212,20000,5888619,01/01/16
212,20001,749180,01/01/16
212,20002,5096735,01/01/16
212,20003,5542,01/01/16
212,20100,5851457,01/01/16
212,21000,686239,01/01/16
212,21100,1,01/01/16
212,21101,0,01/01/16
