bank_id,Date,net_profit,avg_active_sum,Average Key Rate,Average Inflation,Average GDP,Average USD/RUB Rate,roa
1481,2013-Q4,392634997.0,39295503720.0,5.5,6.41,20 104.35,32.54,0.009991855551661065
1481,2014-Q1,99348658.0,41145565740.0,6.0,6.4,17 311.39,35.14,0.002414565365993191
1481,2014-Q2,186415816.0,41400662536.0,,,,,0.004502725429524271
1481,2014-Q3,286692267.0,49521861288.666664,8.0,7.68,20 544.00,36.16,0.005789206211956557
1481,2014-Q4,305703229.0,63282716127.166664,10.33,9.38,22 223.32,47.5,0.004830753920006991
1481,2015-Q1,26319633.0,102969130268.33333,15.33,16.2,19 308.23,62.19,0.00025560702446851904
1481,2015-Q2,81583122.0,93530339029.16667,13.17,15.82,20 380.08 ,52.65,0.0008722637258329511
1481,2015-Q3,144432688.0,111669760567.33333,11.17,15.68,22 097.35,63.02,0.0012933912212779544
1481,2015-Q4,236256123.0,145784319935.33334,11.0,14.37,24 345.02 ,65.94,0.0016205866522874196
1481,2016-Q1,140983555.0,181134780590.5,11.0,8.35,20 285.52,74.63,0.0007783350858426699
1481,2016-Q2,295130943.0,145714357184.33334,10.83,7.42,21 685.27,65.88,0.0020254074389296443
1481,2016-Q3,444822578.0,157058078449.16666,10.33,6.94,23 440.01,64.63,0.002832217116064941
1481,2016-Q4,576834469.0,177410227498.16666,10.0,5.79,25 585.39,63.03,0.0032514160944073023
1481,2017-Q1,153400924.0,178660273160.83334,10.0,4.61,21 958.82,58.84,0.0008586179864502144
1481,2017-Q2,312069543.0,109304716468.33333,9.5,4.21,23 274.60,57.15,0.0028550418781829023
1481,2017-Q3,506446440.0,132674861495.33333,8.83,3.55,24 954.89,59.01,0.003817199688712798
1481,2017-Q4,684529581.0,150067695835.33334,8.08,2.59,27 500.51,58.41,0.0045614719223191266
1481,2018-Q1,204724848.0,154192720473.33334,7.58,2.31,23 791.73,56.88,0.0013277205783226703
1481,2018-Q2,364286221.0,127958565267.0,7.25,2.36,25 345.54 ,61.81,0.002846907670775111
1481,2018-Q3,543875129.0,158950304039.5,7.33,2.92,27 493.59,65.51,0.0034216677488383045
1481,2018-Q4,735364472.0,189612041937.83334,7.67,3.86,30 148.69,66.45,0.003878258281934954
1481,2019-Q1,230796093.0,197804086323.5,7.75,5.23,25 158.33,65.98,0.0011667913301980173
1481,2019-Q2,499678983.0,152277898718.0,7.67,4.97,26 951.78 ,64.55,0.003281362477461974
1481,2019-Q3,742353529.0,177783447806.16666,7.17,4.03,28 893.63,64.63,0.0041756054242427084
1481,2019-Q4,981369979.0,213818495194.66666,6.42,3.43,31 341.65,63.74,0.004589733821232498
1481,2020-Q1,160426121.0,222815018076.83334,6.08,2.4,26 235.61,66.33,0.0007199968942159915
1481,2020-Q2,388987872.0,252187776894.5,4.83,3.1,24 624.93,72.15,0.0015424533131228196
