Date,Average Key Rate,Average Inflation,Average GDP,Average USD/RUB Rate
2013-Q3,5.5,6.14,19 003.47,32.04
2013-Q4,5.5,6.41,20 104.35,32.54
2014-Q1,6,6.4,17 311.39,35.14
2014-Q2 ,7.5,7.58,19 044.19,35.02
2014-Q3,8,7.68,20 544.00,36.16
2014-Q4,10.33,9.38,22 223.32,47.5
2015-Q1,15.33,16.2,19 308.23,62.19
2015-Q2,13.17,15.82,20 380.08 ,52.65
2015-Q3,11.17,15.68,22 097.35,63.02
2015-Q4,11,14.37,24 345.02 ,65.94
2016-Q1,11,8.35,20 285.52,74.63
2016-Q2,10.83,7.42,21 685.27,65.88
2016-Q3,10.33,6.94,23 440.01,64.63
2016-Q4,10,5.79,25 585.39,63.03
2017-Q1,10,4.61,21 958.82,58.84
2017-Q2,9.5,4.21,23 274.60,57.15
2017-Q3,8.83,3.55,24 954.89,59.01
2017-Q4,8.08,2.59,27 500.51,58.41
2018-Q1,7.58,2.31,23 791.73,56.88
2018-Q2,7.25,2.36,25 345.54 ,61.81
2018-Q3,7.33,2.92,27 493.59,65.51
2018-Q4,7.67,3.86,30 148.69,66.45
2019-Q1,7.75,5.23,25 158.33,65.98
2019-Q2,7.67,4.97,26 951.78 ,64.55
2019-Q3,7.17,4.03,28 893.63,64.63
2019-Q4,6.42,3.43,31 341.65,63.74
2020-Q1,6.08,2.4,26 235.61,66.33
2020-Q2,4.83,3.1,24 624.93,72.15
2020-Q3,4.25,3.57,27 786.26,73.57
2020-Q4,4.25,4.43,31 230.48,76.21
2021-Q1,4.33,5.53,27 854.49,74.42
2021-Q2,5.17,6.02,31 784.45,74.07
2021-Q3,6.58,6.7,35 219.49,73.47
2021-Q4,7.67,8.27,39 869.03,72.63
2022-Q1,12.17,11.53,37 093.42,86.83
2022-Q2,13.83,17.03,37 390.82,66.31
2022-Q3,8,14.33,39 181.55,59.9
2022-Q4,7.5,12.37,43 335.61,63.02
2023-Q1,7.5,8.73,36 372.70,73.08
2023-Q2,7.5,2.67,40 206.72 ,81.01
2023-Q3,10.33,5.1,45 606.90,94.75
2023-Q4,15.33,7.2,52 079.41,92.75
2024-Q1,16,7.62,44 332.92,90.8
2024-Q2,16,8.24,47 556.66,90.48
2024-Q3,18.33,8.94,51 159.89,89.23
2024-Q4,21,8.98,59 271.00,99.61
2025-Q1,21,10.11,47 950.38,92.42
2025-Q2,20.67,9.84,49 284.77,80.94
2025-Q3,17.67,8.3,54 671.82,80.56
2025-Q4,16.33,6.65,62 354.06 ,79.89
